task,episodes,baseline_success,baseline_ts,baseline_file,audio_success,compliance_rate,avg_audio_events,audio_ts,audio_file,success_delta
constraint_satisfaction_sweep_without_exceeding,100,93.0,20260211_050153,results/baseline_constraint_satisfaction_sweep_without_exceeding_100eps_20260211_050153.csv,92.0,100.0,1.19,20260211_050320,results/audiovima_constraint_satisfaction_sweep_without_exceeding_100eps_20260211_050320.csv,-1.0
constraint_satisfaction_sweep_without_touching,50,4.0,20260209_035323,results/baseline_constraint_satisfaction_sweep_without_touching_50eps_20260209_035323.csv,14.0,100.0,6.3,20260209_053908,results/audiovima_constraint_satisfaction_sweep_without_touching_50eps_20260209_053908.csv,10.0
constraint_satisfaction_sweep_without_touching,100,100.0,20260211_050535,results/baseline_constraint_satisfaction_sweep_without_touching_100eps_20260211_050535.csv,100.0,100.0,1.57,20260211_050847,results/audiovima_constraint_satisfaction_sweep_without_touching_100eps_20260211_050847.csv,0.0
instruction_following_rotate,1,100.0,20260211_045816,results/baseline_instruction_following_rotate_1eps_20260211_045816.csv,100.0,100.0,0.0,20260211_045503,results/audiovima_instruction_following_rotate_1eps_20260211_045503.csv,0.0
instruction_following_rotate,5,100.0,20260211_031436,results/baseline_instruction_following_rotate_5eps_20260211_031436.csv,100.0,100.0,0.0,20260211_031707,results/audiovima_instruction_following_rotate_5eps_20260211_031707.csv,0.0
instruction_following_rotate,100,100.0,20260211_051229,results/baseline_instruction_following_rotate_100eps_20260211_051229.csv,100.0,100.0,0.0,20260211_051412,results/audiovima_instruction_following_rotate_100eps_20260211_051412.csv,0.0
instruction_following_scene_understanding,100,100.0,20260211_051634,results/baseline_instruction_following_scene_understanding_100eps_20260211_051634.csv,100.0,100.0,1.0,20260211_051859,results/audiovima_instruction_following_scene_understanding_100eps_20260211_051859.csv,0.0
instruction_following_visual_manipulation,100,100.0,20260211_052241,results/baseline_instruction_following_visual_manipulation_100eps_20260211_052241.csv,100.0,100.0,1.0,20260211_052443,results/audiovima_instruction_following_visual_manipulation_100eps_20260211_052443.csv,0.0
novel_concept_grounding_novel_adj,100,100.0,20260211_052737,results/baseline_novel_concept_grounding_novel_adj_100eps_20260211_052737.csv,100.0,100.0,1.0,20260211_052940,results/audiovima_novel_concept_grounding_novel_adj_100eps_20260211_052940.csv,0.0
novel_concept_grounding_novel_adj_and_noun,100,100.0,20260211_053252,results/baseline_novel_concept_grounding_novel_adj_and_noun_100eps_20260211_053252.csv,100.0,100.0,1.0,20260211_053529,results/audiovima_novel_concept_grounding_novel_adj_and_noun_100eps_20260211_053529.csv,0.0
novel_concept_grounding_novel_noun,100,100.0,20260211_053946,results/baseline_novel_concept_grounding_novel_noun_100eps_20260211_053946.csv,100.0,100.0,1.0,20260211_054136,results/audiovima_novel_concept_grounding_novel_noun_100eps_20260211_054136.csv,0.0
novel_concept_grounding_twist,100,100.0,20260211_054418,results/baseline_novel_concept_grounding_twist_100eps_20260211_054418.csv,100.0,100.0,0.0,20260211_054724,results/audiovima_novel_concept_grounding_twist_100eps_20260211_054724.csv,0.0
one_shot_imitation_follow_motion,100,100.0,20260211_055134,results/baseline_one_shot_imitation_follow_motion_100eps_20260211_055134.csv,100.0,100.0,0.0,20260211_055400,results/audiovima_one_shot_imitation_follow_motion_100eps_20260211_055400.csv,0.0
one_shot_imitation_follow_order,100,100.0,20260211_055702,results/baseline_one_shot_imitation_follow_order_100eps_20260211_055702.csv,100.0,100.0,3.65,20260211_055948,results/audiovima_one_shot_imitation_follow_order_100eps_20260211_055948.csv,0.0
rearrangement_rearrange,100,100.0,20260211_062250,results/baseline_rearrangement_rearrange_100eps_20260211_062250.csv,85.0,100.0,0.0,20260211_062600,results/audiovima_rearrangement_rearrange_100eps_20260211_062600.csv,-15.0
require_memory_manipulate_old_neighbor,100,100.0,20260211_063008,results/baseline_require_memory_manipulate_old_neighbor_100eps_20260211_063008.csv,100.0,100.0,3.0,20260211_063229,results/audiovima_require_memory_manipulate_old_neighbor_100eps_20260211_063229.csv,0.0
require_memory_pick_in_order_then_restore,100,100.0,20260211_063533,results/baseline_require_memory_pick_in_order_then_restore_100eps_20260211_063533.csv,100.0,100.0,3.01,20260211_063848,results/audiovima_require_memory_pick_in_order_then_restore_100eps_20260211_063848.csv,0.0
require_memory_rearrange_then_restore,100,100.0,20260211_064257,results/baseline_require_memory_rearrange_then_restore_100eps_20260211_064257.csv,83.0,100.0,0.0,20260211_064802,results/audiovima_require_memory_rearrange_then_restore_100eps_20260211_064802.csv,-17.0
require_reasoning_same_shape,100,100.0,20260211_065412,results/baseline_require_reasoning_same_shape_100eps_20260211_065412.csv,99.0,100.0,3.01,20260211_065723,results/audiovima_require_reasoning_same_shape_100eps_20260211_065723.csv,-1.0
require_reasoning_same_texture,100,100.0,20260211_070203,results/baseline_require_reasoning_same_texture_100eps_20260211_070203.csv,100.0,100.0,3.0,20260211_070508,results/audiovima_require_reasoning_same_texture_100eps_20260211_070508.csv,0.0
